stage,combo_size,models,pr_auc,roc_auc
Ensemble,6,lightgbm+xgboost+catboost+mlp+lstm+random_forest,0.606314000000000,0.9227220000000000
Ensemble,7,lightgbm+xgboost+catboost+mlp+vae+lstm+random_forest,0.6062340000000001,0.9239830000000000
Ensemble,5,lightgbm+xgboost+catboost+mlp+random_forest,0.6058000000000000,0.9216770000000000
Ensemble,6,lightgbm+xgboost+catboost+mlp+vae+random_forest,0.6057910000000000,0.9226259999999999
Ensemble,5,lightgbm+xgboost+catboost+lstm+random_forest,0.6049050000000000,0.925307000000000
Ensemble,6,lightgbm+xgboost+catboost+vae+lstm+random_forest,0.6045500000000000,0.9261970000000000
Ensemble,5,lightgbm+xgboost+catboost+mlp+lstm,0.6040110000000000,0.9239050000000000
Ensemble,6,lightgbm+xgboost+catboost+mlp+vae+lstm,0.6039880000000000,0.9252230000000000
Ensemble,5,lightgbm+xgboost+catboost+mlp+vae,0.603906000000000,0.9236920000000000
Ensemble,4,lightgbm+xgboost+catboost+mlp,0.6037690000000000,0.9227260000000000
Ensemble,5,lightgbm+xgboost+mlp+vae+lstm,0.6032550000000000,0.9181500000000000
Ensemble,4,lightgbm+xgboost+mlp+lstm,0.6032290000000000,0.9174770000000000
Ensemble,4,lightgbm+xgboost+catboost+lstm,0.6025940000000000,0.9263810000000000
Ensemble,4,lightgbm+xgboost+mlp+vae,0.6024250000000000,0.9152210000000000
Ensemble,3,lightgbm+xgboost+mlp,0.6023990000000000,0.9148880000000000
Ensemble,5,lightgbm+xgboost+catboost+vae+lstm,0.6023960000000000,0.9266000000000000
Ensemble,4,lightgbm+xgboost+vae+lstm,0.6022230000000000,0.9212550000000000
Ensemble,3,lightgbm+xgboost+lstm,0.6021220000000000,0.9194580000000000
Ensemble,4,lightgbm+xgboost+catboost+random_forest,0.6009810000000000,0.9282840000000000
Ensemble,6,lightgbm+xgboost+mlp+vae+lstm+random_forest,0.6004590000000000,0.9220020000000000
Ensemble,5,lightgbm+xgboost+mlp+lstm+random_forest,0.600399000000000,0.9202580000000000
Ensemble,3,lightgbm+xgboost+catboost,0.6002280000000000,0.9287330000000000
Ensemble,2,lightgbm+xgboost,0.5998660000000000,0.9212399999999999
Ensemble,5,lightgbm+xgboost+mlp+vae+random_forest,0.5992820000000000,0.9202390000000000
Ensemble,4,lightgbm+xgboost+mlp+random_forest,0.5992130000000000,0.9187550000000000
Ensemble,4,lightgbm+xgboost+lstm+random_forest,0.5991210000000000,0.9229200000000000
Ensemble,5,lightgbm+xgboost+vae+lstm+random_forest,0.5988580000000000,0.9244110000000000
Ensemble,4,lightgbm+catboost+mlp+lstm,0.5983400000000000,0.9230390000000001
Ensemble,5,lightgbm+catboost+mlp+vae+lstm,0.5981670000000000,0.9240190000000000
Ensemble,3,lightgbm+catboost+mlp,0.5980590000000000,0.921991000000000
Ensemble,4,lightgbm+catboost+mlp+vae,0.5979710000000000,0.9228560000000000
Ensemble,4,lightgbm+mlp+vae+lstm,0.5969350000000000,0.9160970000000001
Ensemble,3,lightgbm+mlp+lstm,0.5969130000000000,0.9161640000000000
